Date,Open,High,Low,Close,Adj Close,Volume
2018-06-08,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-06-11,2.920000,2.920000,2.920000,2.920000,2.920000,300
2018-06-12,2.920000,2.920000,2.920000,2.920000,2.920000,0
2018-06-13,2.850000,2.850000,2.850000,2.850000,2.850000,200
2018-06-14,2.820000,2.820000,2.820000,2.820000,2.820000,100
2018-06-15,2.820000,2.820000,2.820000,2.820000,2.820000,0
2018-06-18,2.810000,2.810000,2.810000,2.810000,2.810000,700
2018-06-19,2.810000,2.810000,2.810000,2.810000,2.810000,0
2018-06-20,2.810000,2.810000,2.810000,2.810000,2.810000,0
2018-06-21,2.810000,2.810000,2.810000,2.810000,2.810000,0
2018-06-22,2.810000,2.810000,2.810000,2.810000,2.810000,0
2018-06-25,2.800000,2.800000,2.800000,2.800000,2.800000,500
2018-06-26,2.800000,2.800000,2.800000,2.800000,2.800000,0
2018-06-27,2.800000,2.800000,2.800000,2.800000,2.800000,0
2018-06-28,2.800000,2.800000,2.800000,2.800000,2.800000,0
2018-06-29,2.800000,2.800000,2.800000,2.800000,2.800000,0
2018-07-02,2.800000,2.800000,2.800000,2.800000,2.800000,0
2018-07-03,2.800000,2.800000,2.800000,2.800000,2.800000,1000
2018-07-05,2.830000,2.840000,2.750000,2.750000,2.750000,1900
2018-07-06,2.750000,2.750000,2.750000,2.750000,2.750000,0
2018-07-09,2.750000,2.750000,2.750000,2.750000,2.750000,0
2018-07-10,2.990000,2.990000,2.990000,2.990000,2.990000,1000
2018-07-11,2.990000,3.400000,2.990000,3.220000,3.220000,900
2018-07-12,3.220000,3.220000,3.220000,3.220000,3.220000,0
2018-07-13,3.220000,3.220000,3.220000,3.220000,3.220000,0
2018-07-16,3.220000,3.220000,3.220000,3.220000,3.220000,0
2018-07-17,3.220000,3.220000,3.220000,3.220000,3.220000,0
2018-07-18,3.220000,3.220000,3.220000,3.220000,3.220000,0
2018-07-19,3.000000,3.000000,3.000000,3.000000,3.000000,100
2018-07-20,3.000000,3.210000,2.950000,3.210000,3.210000,1000
2018-07-23,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-07-24,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-07-25,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-07-26,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-07-27,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-07-30,2.900000,2.950000,2.840000,2.840000,2.840000,1700
2018-07-31,3.000000,3.000000,3.000000,3.000000,3.000000,100
2018-08-01,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-02,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-03,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-06,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-07,2.970000,3.000000,2.970000,3.000000,3.000000,500
2018-08-08,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-09,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-10,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-13,3.000000,3.000000,3.000000,3.000000,3.000000,100
2018-08-14,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-15,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-16,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-17,2.940000,3.000000,2.900000,3.000000,3.000000,1500
2018-08-20,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-21,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-08-22,2.750000,2.750000,2.750000,2.750000,2.750000,1200
2018-08-23,2.770000,2.770000,2.770000,2.770000,2.770000,300
2018-08-24,2.700000,2.700000,2.700000,2.700000,2.700000,1000
2018-08-27,3.000000,3.000000,3.000000,3.000000,3.000000,4600
2018-08-28,3.060000,3.390000,3.060000,3.390000,3.390000,2000
2018-08-29,3.390000,3.390000,3.390000,3.390000,3.390000,0
2018-08-30,3.250000,3.250000,3.200000,3.200000,3.200000,5500
2018-08-31,3.470000,3.500000,3.470000,3.500000,3.500000,600
2018-09-04,3.210000,3.210000,3.210000,3.210000,3.210000,800
2018-09-05,3.210000,3.210000,3.210000,3.210000,3.210000,2000
2018-09-06,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-09-07,3.210000,3.210000,3.210000,3.210000,3.210000,0
2018-09-10,3.200000,3.200000,3.200000,3.200000,3.200000,300
2018-09-11,3.200000,3.200000,3.200000,3.200000,3.200000,1500
2018-09-12,3.200000,3.200000,3.200000,3.200000,3.200000,0
2018-09-13,3.050000,3.050000,3.050000,3.050000,3.050000,100
2018-09-14,3.050000,3.050000,3.050000,3.050000,3.050000,1000
2018-09-17,3.050000,3.050000,3.050000,3.050000,3.050000,0
2018-09-18,3.050000,3.050000,3.050000,3.050000,3.050000,1300
2018-09-19,3.050000,3.050000,3.050000,3.050000,3.050000,0
2018-09-20,3.000000,3.000000,3.000000,3.000000,3.000000,1000
2018-09-21,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-09-24,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-09-25,2.900000,2.900000,2.900000,2.900000,2.900000,400
2018-09-26,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-09-27,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-09-28,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-10-01,2.720000,2.720000,2.720000,2.720000,2.720000,100
2018-10-02,2.750000,3.000000,2.750000,3.000000,3.000000,2700
2018-10-03,null,null,null,null,null,null
2018-10-04,3.000000,3.000000,3.000000,3.000000,3.000000,100
2018-10-05,2.890000,2.890000,2.890000,2.890000,2.890000,500
2018-10-08,null,null,null,null,null,null
2018-10-09,null,null,null,null,null,null
2018-10-10,3.000000,3.000000,3.000000,3.000000,3.000000,0
2018-10-11,2.900000,2.900000,2.900000,2.900000,2.900000,100
2018-10-12,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-10-15,2.900000,2.900000,2.900000,2.900000,2.900000,0
2018-10-16,2.900000,2.900000,2.900000,2.900000,2.900000,500
2018-10-17,3.000000,3.000000,3.000000,3.000000,3.000000,400
2018-10-18,3.000000,3.000000,3.000000,3.000000,3.000000,100
2018-10-19,3.200000,3.200000,3.200000,3.200000,3.200000,500
2018-10-22,3.200000,3.200000,3.200000,3.200000,3.200000,0
2018-10-23,3.100000,4.090000,3.100000,3.940000,3.940000,11100
2018-10-24,4.090000,4.300000,3.500000,3.500000,3.500000,3000
2018-10-25,3.500000,4.000000,3.500000,3.500000,3.500000,11300
2018-10-26,3.800000,3.800000,3.510000,3.510000,3.510000,3200
2018-10-29,3.500000,3.500000,3.500000,3.500000,3.500000,2300
2018-10-30,3.500000,3.500000,3.450000,3.450000,3.450000,1200
2018-10-31,3.300000,3.300000,3.300000,3.300000,3.300000,1600
2018-11-01,3.300000,3.300000,3.300000,3.300000,3.300000,0
2018-11-02,3.300000,3.300000,3.300000,3.300000,3.300000,0
2018-11-05,3.140000,3.140000,3.140000,3.140000,3.140000,1000
2018-11-06,3.140000,3.140000,3.140000,3.140000,3.140000,0
2018-11-07,3.200000,3.200000,3.160000,3.200000,3.200000,2200
2018-11-08,3.300000,3.300000,3.200000,3.200000,3.200000,1400
2018-11-09,3.200000,3.200000,3.200000,3.200000,3.200000,0
2018-11-12,3.150000,3.200000,3.110000,3.200000,3.200000,1900
2018-11-13,3.200000,3.200000,3.000000,3.000000,3.000000,3900
2018-11-14,3.060000,3.090000,3.060000,3.090000,3.090000,200
2018-11-15,3.090000,3.090000,3.090000,3.090000,3.090000,0
2018-11-16,3.130000,3.500000,3.130000,3.450000,3.450000,3300
2018-11-19,3.450000,3.450000,3.450000,3.450000,3.450000,200
2018-11-20,3.450000,3.450000,3.450000,3.450000,3.450000,0
2018-11-21,3.450000,3.450000,3.450000,3.450000,3.450000,0
2018-11-23,3.450000,3.450000,3.450000,3.450000,3.450000,0
2018-11-26,3.450000,3.450000,3.450000,3.450000,3.450000,0
2018-11-27,3.390000,3.500000,3.390000,3.490000,3.490000,5900
2018-11-28,3.500000,3.500000,3.500000,3.500000,3.500000,200
2018-11-29,3.260000,3.290000,3.260000,3.290000,3.290000,1100
2018-11-30,3.210000,3.210000,3.200000,3.200000,3.200000,6600
2018-12-03,3.400000,3.500000,3.310000,3.310000,3.310000,2700
2018-12-04,3.470000,3.500000,3.400000,3.400000,3.400000,2800
2018-12-06,3.400000,3.400000,3.320000,3.320000,3.320000,900
2018-12-07,3.320000,3.320000,3.320000,3.320000,3.320000,0
2018-12-10,3.300000,3.300000,3.300000,3.300000,3.300000,400
2018-12-11,3.300000,3.300000,3.300000,3.300000,3.300000,0
2018-12-12,3.300000,3.300000,3.300000,3.300000,3.300000,0
2018-12-13,null,null,null,null,null,null
2018-12-14,null,null,null,null,null,null
2018-12-17,null,null,null,null,null,null
2018-12-18,null,null,null,null,null,null
2018-12-19,null,null,null,null,null,null
2018-12-20,null,null,null,null,null,null
2018-12-21,null,null,null,null,null,null
2018-12-24,null,null,null,null,null,null
2018-12-26,null,null,null,null,null,null
2018-12-27,null,null,null,null,null,null
2018-12-28,null,null,null,null,null,null
2018-12-31,null,null,null,null,null,null
2019-01-02,null,null,null,null,null,null
2019-01-03,null,null,null,null,null,null
2019-01-04,null,null,null,null,null,null
2019-01-07,null,null,null,null,null,null
2019-01-08,null,null,null,null,null,null
2019-01-09,null,null,null,null,null,null
2019-01-10,null,null,null,null,null,null
2019-01-11,null,null,null,null,null,null
2019-01-14,null,null,null,null,null,null
2019-01-15,null,null,null,null,null,null
2019-01-16,null,null,null,null,null,null
2019-01-17,null,null,null,null,null,null
2019-01-18,null,null,null,null,null,null
2019-01-22,null,null,null,null,null,null
2019-01-23,null,null,null,null,null,null
2019-01-24,null,null,null,null,null,null
2019-01-25,null,null,null,null,null,null
2019-01-28,null,null,null,null,null,null
2019-01-29,null,null,null,null,null,null
2019-01-30,null,null,null,null,null,null
2019-01-31,null,null,null,null,null,null
2019-02-01,null,null,null,null,null,null
2019-02-04,null,null,null,null,null,null
2019-02-05,null,null,null,null,null,null
2019-02-06,null,null,null,null,null,null
2019-02-07,null,null,null,null,null,null
2019-02-08,null,null,null,null,null,null
2019-02-11,null,null,null,null,null,null
2019-02-12,null,null,null,null,null,null
2019-02-13,null,null,null,null,null,null
2019-02-14,null,null,null,null,null,null
2019-02-15,null,null,null,null,null,null
2019-02-19,null,null,null,null,null,null
2019-02-20,null,null,null,null,null,null
2019-02-21,null,null,null,null,null,null
2019-02-22,null,null,null,null,null,null
2019-02-25,null,null,null,null,null,null
2019-02-26,null,null,null,null,null,null
2019-02-27,null,null,null,null,null,null
2019-02-28,null,null,null,null,null,null
2019-03-01,null,null,null,null,null,null
2019-03-04,null,null,null,null,null,null
2019-03-05,null,null,null,null,null,null
2019-03-06,null,null,null,null,null,null
2019-03-07,null,null,null,null,null,null
2019-03-08,null,null,null,null,null,null
2019-03-11,null,null,null,null,null,null
2019-03-12,null,null,null,null,null,null
2019-03-13,null,null,null,null,null,null
2019-03-14,null,null,null,null,null,null
2019-03-15,null,null,null,null,null,null
2019-03-18,null,null,null,null,null,null
2019-03-19,null,null,null,null,null,null
2019-03-20,null,null,null,null,null,null
2019-03-21,null,null,null,null,null,null
2019-03-22,null,null,null,null,null,null
2019-03-25,null,null,null,null,null,null
2019-03-26,null,null,null,null,null,null
2019-03-27,null,null,null,null,null,null
2019-03-28,null,null,null,null,null,null
2019-03-29,null,null,null,null,null,null
2019-04-01,null,null,null,null,null,null
2019-04-02,null,null,null,null,null,null
2019-04-03,null,null,null,null,null,null
2019-04-04,null,null,null,null,null,null
2019-04-05,null,null,null,null,null,null
2019-04-08,null,null,null,null,null,null
2019-04-09,null,null,null,null,null,null
2019-04-10,null,null,null,null,null,null
2019-04-11,null,null,null,null,null,null
2019-04-12,null,null,null,null,null,null
2019-04-15,null,null,null,null,null,null
2019-04-16,null,null,null,null,null,null
2019-04-17,null,null,null,null,null,null
2019-04-18,null,null,null,null,null,null
2019-04-22,null,null,null,null,null,null
2019-04-23,null,null,null,null,null,null
2019-04-24,null,null,null,null,null,null
2019-04-25,null,null,null,null,null,null
2019-04-26,null,null,null,null,null,null
2019-04-29,null,null,null,null,null,null
2019-04-30,null,null,null,null,null,null
2019-05-01,null,null,null,null,null,null
2019-05-02,null,null,null,null,null,null
2019-05-03,null,null,null,null,null,null
2019-05-06,null,null,null,null,null,null
2019-05-07,null,null,null,null,null,null
2019-05-08,null,null,null,null,null,null
2019-05-09,null,null,null,null,null,null
2019-05-10,null,null,null,null,null,null
2019-05-13,null,null,null,null,null,null
2019-05-14,null,null,null,null,null,null
2019-05-15,null,null,null,null,null,null
2019-05-16,null,null,null,null,null,null
2019-05-17,null,null,null,null,null,null
2019-05-20,null,null,null,null,null,null
2019-05-21,null,null,null,null,null,null
2019-05-22,null,null,null,null,null,null
2019-05-23,null,null,null,null,null,null
2019-05-24,null,null,null,null,null,null
2019-05-28,null,null,null,null,null,null
2019-05-29,null,null,null,null,null,null
2019-05-30,null,null,null,null,null,null
2019-05-31,null,null,null,null,null,null
2019-06-03,null,null,null,null,null,null
2019-06-04,null,null,null,null,null,null
2019-06-05,null,null,null,null,null,null
2019-06-06,null,null,null,null,null,null
2019-06-07,null,null,null,null,null,null
2019-06-10,null,null,null,null,null,null
2019-06-11,null,null,null,null,null,null
2019-06-12,null,null,null,null,null,null
2019-06-13,null,null,null,null,null,null
2019-06-14,null,null,null,null,null,null
2019-06-17,null,null,null,null,null,null
2019-06-18,null,null,null,null,null,null
2019-06-19,null,null,null,null,null,null
2019-06-20,null,null,null,null,null,null
2019-06-21,null,null,null,null,null,null
2019-06-24,null,null,null,null,null,null
2019-06-25,null,null,null,null,null,null
2019-06-26,null,null,null,null,null,null
2019-06-27,null,null,null,null,null,null
2019-06-28,null,null,null,null,null,null
2019-07-01,null,null,null,null,null,null
2019-07-02,null,null,null,null,null,null
2019-07-03,null,null,null,null,null,null
2019-07-05,null,null,null,null,null,null
2019-07-08,null,null,null,null,null,null
2019-07-09,null,null,null,null,null,null
2019-07-10,null,null,null,null,null,null
2019-07-11,null,null,null,null,null,null
2019-07-12,null,null,null,null,null,null
2019-07-15,null,null,null,null,null,null
2019-07-16,null,null,null,null,null,null
2019-07-17,null,null,null,null,null,null
2019-07-18,null,null,null,null,null,null
2019-07-19,null,null,null,null,null,null
2019-07-22,null,null,null,null,null,null
2019-07-23,null,null,null,null,null,null
2019-07-24,null,null,null,null,null,null
2019-07-25,null,null,null,null,null,null
2019-07-26,null,null,null,null,null,null
2019-07-29,null,null,null,null,null,null
2019-07-30,null,null,null,null,null,null
2019-07-31,null,null,null,null,null,null
2019-08-01,null,null,null,null,null,null
2019-08-02,null,null,null,null,null,null
2019-08-05,null,null,null,null,null,null
2019-08-06,null,null,null,null,null,null
2019-08-07,null,null,null,null,null,null
2019-08-08,null,null,null,null,null,null
2019-08-09,null,null,null,null,null,null
2019-08-12,null,null,null,null,null,null
2019-08-13,null,null,null,null,null,null
2019-08-14,null,null,null,null,null,null
2019-08-15,null,null,null,null,null,null
2019-08-16,null,null,null,null,null,null
2019-08-19,null,null,null,null,null,null
2019-08-20,null,null,null,null,null,null
2019-08-21,null,null,null,null,null,null
2019-08-22,null,null,null,null,null,null
2019-08-23,null,null,null,null,null,null
2019-08-26,null,null,null,null,null,null
2019-08-27,null,null,null,null,null,null
2019-08-28,null,null,null,null,null,null
2019-08-29,null,null,null,null,null,null
2019-08-30,null,null,null,null,null,null
2019-09-03,null,null,null,null,null,null
2019-09-04,null,null,null,null,null,null
2019-09-05,null,null,null,null,null,null
2019-09-06,null,null,null,null,null,null
2019-09-09,null,null,null,null,null,null
2019-09-10,null,null,null,null,null,null
2019-09-11,null,null,null,null,null,null
2019-09-12,null,null,null,null,null,null
2019-09-13,null,null,null,null,null,null
2019-09-16,null,null,null,null,null,null
2019-09-17,null,null,null,null,null,null
2019-09-18,null,null,null,null,null,null
2019-09-19,null,null,null,null,null,null
2019-09-20,null,null,null,null,null,null
2019-09-23,null,null,null,null,null,null
2019-09-24,null,null,null,null,null,null
2019-09-25,null,null,null,null,null,null
2019-09-26,null,null,null,null,null,null
2019-09-27,null,null,null,null,null,null
2019-09-30,null,null,null,null,null,null
2019-10-01,null,null,null,null,null,null
2019-10-02,null,null,null,null,null,null
2019-10-03,null,null,null,null,null,null
2019-10-04,null,null,null,null,null,null
2019-10-07,null,null,null,null,null,null
2019-10-08,null,null,null,null,null,null
2019-10-09,null,null,null,null,null,null
2019-10-10,null,null,null,null,null,null
2019-10-11,null,null,null,null,null,null
2019-10-14,null,null,null,null,null,null
2019-10-15,null,null,null,null,null,null
2019-10-16,null,null,null,null,null,null
2019-10-17,null,null,null,null,null,null
2019-10-18,null,null,null,null,null,null
2019-10-21,null,null,null,null,null,null
2019-10-22,null,null,null,null,null,null
2019-10-23,null,null,null,null,null,null
2019-10-24,null,null,null,null,null,null
2019-10-25,null,null,null,null,null,null
2019-10-28,null,null,null,null,null,null
2019-10-29,null,null,null,null,null,null
2019-10-30,null,null,null,null,null,null
2019-10-31,null,null,null,null,null,null
2019-11-01,null,null,null,null,null,null
2019-11-04,null,null,null,null,null,null
2019-11-05,null,null,null,null,null,null
2019-11-06,null,null,null,null,null,null
2019-11-07,null,null,null,null,null,null
2019-11-08,null,null,null,null,null,null
2019-11-11,null,null,null,null,null,null
2019-11-12,null,null,null,null,null,null
2019-11-13,null,null,null,null,null,null
2019-11-14,null,null,null,null,null,null
2019-11-15,null,null,null,null,null,null
2019-11-18,null,null,null,null,null,null
2019-11-19,null,null,null,null,null,null
2019-11-20,null,null,null,null,null,null
2019-11-21,null,null,null,null,null,null
2019-11-22,null,null,null,null,null,null
2019-11-25,null,null,null,null,null,null
2019-11-26,null,null,null,null,null,null
2019-11-27,null,null,null,null,null,null
2019-11-29,null,null,null,null,null,null
2019-12-02,null,null,null,null,null,null
2019-12-03,null,null,null,null,null,null
2019-12-04,null,null,null,null,null,null
2019-12-05,null,null,null,null,null,null
2019-12-06,null,null,null,null,null,null
2019-12-09,null,null,null,null,null,null
2019-12-10,null,null,null,null,null,null
2019-12-11,null,null,null,null,null,null
2019-12-12,null,null,null,null,null,null
2019-12-13,null,null,null,null,null,null
2019-12-16,null,null,null,null,null,null
2019-12-17,null,null,null,null,null,null
2019-12-18,null,null,null,null,null,null
2019-12-19,null,null,null,null,null,null
2019-12-20,null,null,null,null,null,null
2019-12-23,null,null,null,null,null,null
2019-12-24,null,null,null,null,null,null
2019-12-26,null,null,null,null,null,null
2019-12-27,null,null,null,null,null,null
2019-12-30,null,null,null,null,null,null
2019-12-31,null,null,null,null,null,null
2020-01-02,null,null,null,null,null,null
2020-01-03,null,null,null,null,null,null
2020-01-06,null,null,null,null,null,null
2020-01-07,null,null,null,null,null,null
2020-01-08,null,null,null,null,null,null
2020-01-09,null,null,null,null,null,null
2020-01-10,null,null,null,null,null,null
2020-01-13,null,null,null,null,null,null
2020-01-14,null,null,null,null,null,null
2020-01-15,null,null,null,null,null,null
2020-01-16,null,null,null,null,null,null
2020-01-17,null,null,null,null,null,null
2020-01-21,null,null,null,null,null,null
2020-01-22,null,null,null,null,null,null
2020-01-23,null,null,null,null,null,null
2020-01-24,null,null,null,null,null,null
2020-01-27,null,null,null,null,null,null
2020-01-28,null,null,null,null,null,null
2020-01-29,null,null,null,null,null,null
2020-01-30,null,null,null,null,null,null
2020-01-31,null,null,null,null,null,null
2020-02-03,null,null,null,null,null,null
2020-02-04,null,null,null,null,null,null
2020-02-05,null,null,null,null,null,null
2020-02-06,null,null,null,null,null,null
2020-02-07,null,null,null,null,null,null
2020-02-10,null,null,null,null,null,null
2020-02-11,null,null,null,null,null,null
2020-02-12,null,null,null,null,null,null
2020-02-13,null,null,null,null,null,null
2020-02-14,null,null,null,null,null,null
2020-02-18,null,null,null,null,null,null
2020-02-19,null,null,null,null,null,null
2020-02-20,null,null,null,null,null,null
2020-02-21,null,null,null,null,null,null
2020-02-24,null,null,null,null,null,null
2020-02-25,null,null,null,null,null,null
2020-02-26,null,null,null,null,null,null
2020-02-27,null,null,null,null,null,null
2020-02-28,null,null,null,null,null,null
2020-03-02,null,null,null,null,null,null
2020-03-03,null,null,null,null,null,null
2020-03-04,null,null,null,null,null,null
2020-03-05,null,null,null,null,null,null
2020-03-06,null,null,null,null,null,null
2020-03-09,null,null,null,null,null,null
2020-03-10,null,null,null,null,null,null
2020-03-11,null,null,null,null,null,null
2020-03-12,null,null,null,null,null,null
2020-03-13,null,null,null,null,null,null
2020-03-16,null,null,null,null,null,null
2020-03-17,null,null,null,null,null,null
2020-03-18,null,null,null,null,null,null
2020-03-19,null,null,null,null,null,null
2020-03-20,null,null,null,null,null,null
2020-03-23,null,null,null,null,null,null
2020-03-24,null,null,null,null,null,null
2020-03-25,null,null,null,null,null,null
2020-03-26,null,null,null,null,null,null
2020-03-27,null,null,null,null,null,null
2020-03-30,null,null,null,null,null,null
2020-03-31,null,null,null,null,null,null
2020-04-01,null,null,null,null,null,null
2020-04-02,null,null,null,null,null,null
2020-04-03,null,null,null,null,null,null
2020-04-06,null,null,null,null,null,null
2020-04-07,null,null,null,null,null,null
2020-04-08,null,null,null,null,null,null
2020-04-09,null,null,null,null,null,null
2020-04-13,null,null,null,null,null,null
2020-04-14,null,null,null,null,null,null
2020-04-15,null,null,null,null,null,null
2020-04-16,null,null,null,null,null,null
2020-04-17,null,null,null,null,null,null
2020-04-20,null,null,null,null,null,null
2020-04-21,null,null,null,null,null,null
2020-04-22,null,null,null,null,null,null
2020-04-23,null,null,null,null,null,null
2020-04-24,null,null,null,null,null,null
2020-04-27,null,null,null,null,null,null
2020-04-28,null,null,null,null,null,null
2020-04-29,null,null,null,null,null,null
2020-04-30,null,null,null,null,null,null
2020-05-01,null,null,null,null,null,null
2020-05-04,null,null,null,null,null,null
2020-05-05,null,null,null,null,null,null
2020-05-06,null,null,null,null,null,null
2020-05-07,null,null,null,null,null,null
2020-05-08,null,null,null,null,null,null
2020-05-11,null,null,null,null,null,null
2020-05-12,null,null,null,null,null,null
2020-05-13,null,null,null,null,null,null
2020-05-14,null,null,null,null,null,null
2020-05-15,null,null,null,null,null,null
2020-05-18,null,null,null,null,null,null
2020-05-19,null,null,null,null,null,null
2020-05-20,null,null,null,null,null,null
2020-05-21,null,null,null,null,null,null
2020-05-22,null,null,null,null,null,null
2020-05-26,null,null,null,null,null,null
2020-05-27,null,null,null,null,null,null
2020-05-28,null,null,null,null,null,null
2020-05-29,null,null,null,null,null,null
2020-06-01,null,null,null,null,null,null
2020-06-02,null,null,null,null,null,null
2020-06-03,null,null,null,null,null,null
2020-06-04,null,null,null,null,null,null
2020-06-05,null,null,null,null,null,null
2020-06-08,null,null,null,null,null,null
2020-06-09,null,null,null,null,null,null
2020-06-10,null,null,null,null,null,null
2020-06-11,null,null,null,null,null,null
2020-06-12,null,null,null,null,null,null
2020-06-15,null,null,null,null,null,null
2020-06-16,null,null,null,null,null,null
2020-06-17,null,null,null,null,null,null
2020-06-18,null,null,null,null,null,null
2020-06-19,null,null,null,null,null,null
2020-06-22,null,null,null,null,null,null
2020-06-23,null,null,null,null,null,null
2020-06-24,null,null,null,null,null,null
2020-06-25,null,null,null,null,null,null
2020-06-26,null,null,null,null,null,null
2020-06-29,null,null,null,null,null,null
2020-06-30,null,null,null,null,null,null
2020-07-01,null,null,null,null,null,null
2020-07-02,null,null,null,null,null,null
2020-07-06,null,null,null,null,null,null
2020-07-07,null,null,null,null,null,null
